Region Name,City Name,School Name,School Score
City of Toronto,Toronto,Courcelette,8.5
City of Toronto,Toronto,John Wanless,8.5
York Region,Vaughan,Le-Petit-Prince,8.5
York Region,Markham,Mount Joy,8.5
City of Toronto,Toronto,Notre-Dame-de-Grâce,8.5
York Region,Vaughan,Pierre Berton,8.5
Halton Region,Oakville,Pilgrim Wood,8.5
Peel Region,Brampton,Springbrook,8.5
Peel Region,Mississauga,St Matthew,8.5
City of Toronto,Toronto,Armour Heights,8.4
York Region,Markham,Central Park,8.4
Durham Region,Whitby,Earl A Fairman,8.4
Halton Region,Oakville,Joshua Creek,8.4
City of Toronto,Toronto,Kennedy,8.4
City of Toronto,Toronto,Sainte-Marguerite-d'Youville,8.4
York Region,Woodbridge,St Clement,8.4
City of Toronto,Toronto,St Demetrius,8.4
Peel Region,Mississauga,St Edmund,8.4
York Region,Markham,St Patrick,8.4
Durham Region,Whitby,St Paul,8.4
Peel Region,Mississauga,St Therese of the Child Jesus,8.4
City of Toronto,Toronto,Thomas L Wells,8.4
Durham Region,Pickering,William Dunbar,8.4
City of Toronto,Toronto,Father Serra,8.3
York Region,Concord,Glen Shields,8.3
York Region,Maple,Herbert H Carnegie,8.3
York Region,Markham,John McCrae,8.3
City of Toronto,Toronto,Northlea,8.3
City of Toronto,Toronto,Prince of Peace,8.3
York Region,Aurora,Rick Hansen,8.3
Peel Region,Mississauga,St Bernard of Clairvaux,8.3
City of Toronto,Toronto,St Henry,8.3
City of Toronto,Toronto,St Josaphat,8.3
Halton Region,Oakville,St Joseph's,8.3
City of Toronto,Toronto,Allenby,8.2
York Region,Thornhill,As-Sadiq Islamic,8.2
York Region,Markham,Black Walnut,8.2
York Region,Markham,Castlemore,8.2
Halton Region,Burlington,Charles R. Beaudoin,8.2
Peel Region,Brampton,Churchville,8.2
York Region,Markham,E T Crowle,8.2
City of Toronto,Toronto,Fairglen,8.2
York Region,Markham,Lincoln Alexander,8.2
Halton Region,Oakville,Oodenawi,8.2
Halton Region,Burlington,Orchard Park,8.2
City of Toronto,Toronto,Our Lady of Sorrows,8.2
York Region,Unionville,Parkview,8.2
City of Toronto,Toronto,Percy Williams,8.2
Halton Region,Oakville,Post's Corners,8.2
York Region,Markham,Roy H Crosby,8.2
York Region,Woodbridge,St Angela Merici,8.2
Peel Region,Mississauga,Sts Martha & Mary,8.2
Durham Region,Ajax,Vimy Ridge,8.2
City of Toronto,Toronto,Agincourt,8.1
Peel Region,Mississauga,AI-Manarat Heights,8.1
Peel Region,Mississauga,Ange-Gabriel,8.1
Halton Region,Oakville,du Chêne,8.1
City of Toronto,Toronto,North Bendale,8.1
York Region,Stouffville,Oscar Peterson,8.1
York Region,Concord,Our Lady of the Rosary,8.1
City of Toronto,Toronto,Sainte-Madeleine,8.1
City of Toronto,Toronto,Salaheddin Islamic,8.1
City of Toronto,Toronto,St Mary of the Angels,8.1
Peel Region,Mississauga,St Richard,8.1
Halton Region,Oakville,Sunningdale,8.1
City of Toronto,Toronto,The Divine Infant,8.1
City of Toronto,Toronto,West Preparatory,8.1
York Region,Unionville,All Saints,8.0
York Region,Thornhill,Charlton,8.0
City of Toronto,Toronto,Dewson Street,8.0
City of Toronto,Toronto,Earl Haig,8.0
York Region,Markham,Fred Varley,8.0
Durham Region,Pickering,Gandatsetiagon,8.0
City of Toronto,Toronto,Georges-Étienne-Cartier,8.0
York Region,Stouffville,Harry Bowes,8.0
York Region,Aurora,Holy Spirit,8.0
Peel Region,Brampton,Ingleborough,8.0
City of Toronto,Toronto,Inglewood Heights,8.0
City of Toronto,Toronto,Jeanne-Lajoie,8.0
York Region,Thornhill,Johnsview Village,8.0
Halton Region,Milton,Lumen Christi,8.0
Halton Region,Oakville,Maple Grove,8.0
Halton Region,Burlington,Maplehurst,8.0
Halton Region,Oakville,Mother Teresa,8.0
City of Toronto,Toronto,Mountview Alternative,8.0
Halton Region,Oakville,Our Lady of Peace,8.0
City of Toronto,Toronto,Palmerston Avenue,8.0
City of Toronto,Toronto,Pape Avenue,8.0
York Region,Markham,Parkland,8.0
City of Toronto,Toronto,Rolph Road,8.0
City of Toronto,Toronto,St Andrews,8.0
York Region,Maple,St Cecilia,8.0
York Region,Markham,St Francis Xavier,8.0
Peel Region,Mississauga,St. James,8.0
Durham Region,Oshawa,Waverly,8.0
City of Toronto,Toronto,Alvin Curling,7.9
City of Toronto,Toronto,Bridlewood,7.9
York Region,Markham,Buttonville,7.9
Halton Region,Burlington,Canadian Martyrs,7.9
City of Toronto,Toronto,Jackman Avenue,7.9
City of Toronto,Toronto,Khairul Ummah,7.9
City of Toronto,Toronto,Niagara Street,7.9
City of Toronto,Toronto,Norseman,7.9
Peel Region,Mississauga,Our Lady of Good Voyage,7.9
Halton Region,Milton,Our Lady of Victory,7.9
City of Toronto,Toronto,Owen,7.9
York Region,Stouffville,Pape-François,7.9
City of Toronto,Toronto,Park Lawn,7.9
Halton Region,Burlington,Pineland,7.9
York Region,Woodbridge,St Andrew,7.9
York Region,Maple,St James,7.9
Durham Region,Oshawa,St John Bosco,7.9
York Region,Markham,St Joseph,7.9
Halton Region,Oakville,St Marguerite d'Youville,7.9
Durham Region,Whitby,St Mark the Evangelist,7.9
York Region,Thornhill,St Michael,7.9
City of Toronto,Toronto,The Waterfront,7.9
Halton Region,Burlington,Tom Thomson,7.9
York Region,Markham,Unionville Meadows,7.9
York Region,Stouffville,Whitchurch Highlands,7.9
City of Toronto,Toronto,Adam Beck,7.8
Halton Region,Burlington,Alton Village,7.8
York Region,Maple,Anne Frank,7.8
York Region,Thornhill,Bayview Glen,7.8
City of Toronto,Toronto,Chartland,7.8
City of Toronto,Toronto,Frankland,7.8
York Region,Aurora,Highview,7.8
Halton Region,Oakville,Holy Family,7.8
Halton Region,Oakville,James W. Hill,7.8
City of Toronto,Toronto,John English,7.8
City of Toronto,Toronto,Lambton Kingsway,7.8
York Region,Maple,Mackenzie Glen,7.8
City of Toronto,Toronto,Orde Street,7.8
City of Toronto,Toronto,Our Lady of Grace,7.8
Peel Region,Mississauga,San Lorenzo Ruiz,7.8
Durham Region,Oshawa,Sherwood,7.8
York Region,Markham,Sir Richard W Scott,7.8
Halton Region,Oakville,St Andrew,7.8
City of Toronto,Toronto,St Brendan,7.8
City of Toronto,Toronto,St Brigid,7.8
City of Toronto,Toronto,St Lawrence,7.8
City of Toronto,Toronto,St Pius X,7.8
City of Toronto,Toronto,St Sylvester,7.8
Peel Region,Mississauga,St Timothy,7.8
Durham Region,Ajax,Terry Fox,7.8
Halton Region,Oakville,W H Morden,7.8
Durham Region,Whitby,Whitby Shores,7.8
York Region,Markham,Wismer,7.8
City of Toronto,Toronto,Agnes Macphail,7.7
City of Toronto,Toronto,Bendale,7.7
City of Toronto,Toronto,Bennington Heights,7.7
York Region,Newmarket,Bogart,7.7
Durham Region,Oshawa,College Hill,7.7
York Region,Woodbridge,Forest Run,7.7
Halton Region,Milton,Guardian Angels,7.7
City of Toronto,Toronto,Humberwood Downs,7.7
Peel Region,Caledon,James Grieve,7.7
Durham Region,Ajax,Lakeside,7.7
York Region,Markham,Legacy,7.7
City of Toronto,Toronto,Morrish,7.7
Peel Region,Brampton,Mount Royal,7.7
City of Toronto,Toronto,North Preparatory,7.7
Halton Region,Oakville,Pine Grove,7.7
City of Toronto,Toronto,Rippleton,7.7
York Region,Markham,Sir John A. Macdonald,7.7
Halton Region,Burlington,St Paul,7.7
City of Toronto,Toronto,Sts Cosmas and Damian,7.7
Halton Region,Oakville,West Oak,7.7
City of Toronto,Toronto,White Haven,7.7
York Region,Thornhill,Wilshire,7.7
City of Toronto,Toronto,All Saints,7.6
City of Toronto,Toronto,Balmy Beach,7.6
Durham Region,Whitby,Blair Ridge,7.6
Durham Region,Whitby,Colonel J E Farewell,7.6
York Region,Markham,David Suzuki,7.6
Durham Region,Oshawa,Dr S J Phillips,7.6
Peel Region,Mississauga,Forest Avenue,7.6
York Region,Markham,Franklin Street,7.6
City of Toronto,Toronto,Garden Avenue,7.6
City of Toronto,Toronto,Givins/Shaw,7.6
Durham Region,Whitby,Jack Miner,7.6
City of Toronto,Toronto,Ledbury Park,7.6
York Region,Aurora,Light of Christ,7.6
York Region,Markham,Markham Gateway,7.6
Durham Region,Ajax,Nottingham,7.6
Peel Region,Brampton,Our Lady of Lourdes,7.6
Peel Region,Mississauga,Our Lady of Mercy,7.6
Peel Region,Mississauga,Plum Tree Park,7.6
Durham Region,Whitby,Sir Samuel Steele,7.6
Peel Region,Caledon,SouthFields Village,7.6
Peel Region,Mississauga,St Christopher,7.6
Peel Region,Mississauga,St Edith Stein,7.6
City of Toronto,Toronto,St Gabriel Lalemant,7.6
Peel Region,Mississauga,St Thomas More,7.6
Halton Region,Milton,St. Benedict,7.6
Durham Region,Pickering,Valley Farm,7.6
Peel Region,Caledon,Walnut Grove,7.6
City of Toronto,Toronto,Wilkinson,7.6
City of Toronto,Toronto,Alexander Muir/Gladstone Ave,7.5
City of Toronto,Toronto,Blessed Sacrament,7.5
City of Toronto,Toronto,Brown,7.5
Durham Region,Whitby,Captain Michael VandenBos,7.5
City of Toronto,Toronto,Churchill Heights,7.5
York Region,Maple,Discovery,7.5
Peel Region,Mississauga,Divine Mercy,7.5
Durham Region,Ajax,Eagle Ridge,7.5
Halton Region,Oakville,Eastview,7.5
Halton Region,Burlington,Glenview,7.5
City of Toronto,Toronto,Holy Angels,7.5
Durham Region,Ajax,Lincoln Alexander,7.5
Durham Region,Pickering,Maple Ridge,7.5
Durham Region,Ajax,Mother Teresa,7.5
York Region,Vaughan,Nellie McClung,7.5
Halton Region,Milton,Our Lady of Fatima,7.5
Durham Region,Oshawa,Seneca Trail,7.5
City of Toronto,Toronto,St Ambrose,7.5
Halton Region,Oakville,St Bernadette,7.5
Halton Region,Burlington,St Christopher,7.5
Halton Region,Burlington,St Elizabeth Seton,7.5
Peel Region,Mississauga,St Elizabeth Seton,7.5
City of Toronto,Toronto,St Gregory,7.5
Peel Region,Mississauga,St Herbert,7.5
York Region,Stouffville,St Mark,7.5
York Region,Woodbridge,St Padre Pio,7.5
City of Toronto,Toronto,West Rouge,7.5
York Region,Markham,Wilclay,7.5
City of Toronto,Toronto,Banting and Best,7.4
City of Toronto,Toronto,Blessed Pier Giorgio Frassati,7.4
Durham Region,Whitby,C E Broughton,7.4
York Region,Thornhill,Carrville Mills,7.4
Peel Region,Mississauga,Christ The King,7.4
City of Toronto,Toronto,Clinton Street,7.4
York Region,Maple,Dr Roberta Bondar,7.4
Halton Region,Oakville,Emily Carr,7.4
City of Toronto,Toronto,Hillcrest,7.4
York Region,Markham,James Robinson,7.4
City of Toronto,Toronto,John G Diefenbaker,7.4
Peel Region,Mississauga,Kenollie,7.4
York Region,Markham,Mother Teresa,7.4
Halton Region,Burlington,Paul A Fisher,7.4
Durham Region,Uxbridge,Quaker Village,7.4
Halton Region,Milton,Queen of Heaven,7.4
Peel Region,Mississauga,St Dominic,7.4
Peel Region,Mississauga,St Jerome,7.4
City of Toronto,Toronto,St Louis,7.4
Durham Region,Whitby,St Luke the Evangelist,7.4
City of Toronto,Toronto,St Raphael,7.4
York Region,Maple,St Raphael the Archangel,7.4
Halton Region,Oakville,St. Gregory the Great,7.4
City of Toronto,Toronto,Terry Fox,7.4
York Region,Thornhill,Thornhill,7.4
York Region,Stouffville,Wendat Village,7.4
City of Toronto,Toronto,West Humber,7.4
Durham Region,Pickering,Westcreek,7.4
City of Toronto,Toronto,William G Davis,7.4
Halton Region,Burlington,Ascension,7.3
Peel Region,Brampton,Carrefour des Jeunes,7.3
Durham Region,Ajax,da Vinci,7.3
Halton Region,Milton,Escarpment View,7.3
Peel Region,Brampton,Great Lakes,7.3
Halton Region,Oakville,Heritage Glen,7.3
Durham Region,Pickering,Highbush,7.3
City of Toronto,Toronto,Hunter's Glen,7.3
City of Toronto,Toronto,Indian Road Crescent,7.3
York Region,Maple,Maple Creek,7.3
Peel Region,Mississauga,Mineola,7.3
City of Toronto,Toronto,North Agincourt,7.3
York Region,Aurora,Northern Lights,7.3
City of Toronto,Toronto,Norway,7.3
Halton Region,Oakville,Pope John Paul II,7.3
Peel Region,Brampton,Ray Lawson,7.3
Peel Region,Mississauga,René-Lamoureux,7.3
Peel Region,Brampton,Ross Drive,7.3
Peel Region,Mississauga,Saint-Jean-Baptiste,7.3
City of Toronto,Toronto,Saint-Jean-de-Lalande,7.3
City of Toronto,Toronto,Sir Samuel B Steele,7.3
York Region,Woodbridge,St Emily,7.3
Peel Region,Mississauga,St Gregory,7.3
Durham Region,Pickering,St Isaac Jogues,7.3
Halton Region,Oakville,St Joan of Arc,7.3
Durham Region,Uxbridge,St Joseph,7.3
York Region,Markham,St Julia Billiart,7.3
York Region,Vaughan,St Michael the Archangel,7.3
Peel Region,Mississauga,St Sofia,7.3
York Region,Woodbridge,St Stephen,7.3
Peel Region,Mississauga,St Veronica,7.3
York Region,Thornhill,Willowbrook,7.3
City of Toronto,Toronto,Cornell,7.2
City of Toronto,Toronto,Deer Park,7.2
York Region,Maple,Divine Mercy,7.2
City of Toronto,Toronto,Emily Carr,7.2
York Region,Vaughan,Glenn Gould,7.2
York Region,Markham,Greensborough,7.2
York Region,Aurora,Hartman,7.2
Peel Region,Mississauga,Hawthorn,7.2
City of Toronto,Toronto,John A Leslie,7.2
Durham Region,Oshawa,Kedron,7.2
York Region,Unionville,Milliken Mills,7.2
City of Toronto,Toronto,Mother Cabrini,7.2
York Region,Newmarket,Notre Dame,7.2
Durham Region,Pickering,Pickering,7.2
City of Toronto,Toronto,St Anselm,7.2
City of Toronto,Toronto,St Denis,7.2
City of Toronto,Toronto,St Francis of Assisi,7.2
City of Toronto,Toronto,St Jean de Brebeuf,7.2
Halton Region,Oakville,St Luke,7.2
City of Toronto,Toronto,St Matthias,7.2
Peel Region,Mississauga,St Simon Stock,7.2
Durham Region,Oshawa,Sunset Heights,7.2
York Region,Thornhill,Thornhill Woods,7.2
York Region,Unionville,Unionville,7.2
Halton Region,Milton,Anne J. MacArthur,7.1
City of Toronto,Toronto,Anson Park,7.1
City of Toronto,Toronto,Beaumonde Heights,7.1
City of Toronto,Toronto,Brookside,7.1
Halton Region,Oakville,Captain R Wilson,7.1
Halton Region,Oakville,Falgarwood,7.1
City of Toronto,Toronto,Glamorgan,7.1
City of Toronto,Toronto,Hawthorne II Bilingual,7.1
Durham Region,Whitby,Jean-Paul II,7.1
York Region,Maple,Joseph A Gibson,7.1
York Region,Woodbridge,Lorna Jackson,7.1
City of Toronto,Toronto,Nativity of Our Lord,7.1
City of Toronto,Toronto,North Kipling,7.1
Durham Region,Ajax,Notre-Dame-de-la-Jeunesse,7.1
York Region,Woodbridge,Pine Grove,7.1
York Region,Markham,Ramer Wood,7.1
Halton Region,Oakville,Sainte-Marie,7.1
York Region,Aurora,Saint-Jean,7.1
Peel Region,Mississauga,St Albert of Jerusalem,7.1
Peel Region,Mississauga,St Basil,7.1
Durham Region,Pickering,St Elizabeth Seton,7.1
York Region,Newmarket,St John Chrysostom,7.1
Halton Region,Burlington,St Johns,7.1
Peel Region,Mississauga,St Louis,7.1
Durham Region,Whitby,St Matthew the Evangelist,7.1
Peel Region,Brampton,St Patrick,7.1
Halton Region,Burlington,St Patrick,7.1
City of Toronto,Toronto,St Robert,7.1
City of Toronto,Toronto,St Thomas Aquinas,7.1
City of Toronto,Toronto,St Timothy,7.1
City of Toronto,Toronto,St Vincent de Paul,7.1
City of Toronto,Toronto,The Holy Trinity,7.1
Durham Region,Whitby,Williamsburg,7.1
York Region,Aurora,Aurora Grove,7.0
York Region,Stouffville,Barbara Reid,7.0
Halton Region,Oakville,Brookdale,7.0
York Region,Newmarket,Canadian Martyrs,7.0
Peel Region,Brampton,Castlemore,7.0
City of Toronto,Toronto,Charles-Sauriol,7.0
York Region,Aurora,Devins Drive,7.0
City of Toronto,Toronto,Fern Avenue,7.0
Durham Region,Pickering,Fr Fenelon,7.0
City of Toronto,Toronto,Heritage Park,7.0
City of Toronto,Toronto,Holy Rosary,7.0
Peel Region,Mississauga,Horizon Jeunesse,7.0
Halton Region,Milton,Irma Coulson,7.0
Durham Region,Whitby,John Dryden,7.0
City of Toronto,Toronto,King George,7.0
City of Toronto,Toronto,Meadowvale,7.0
York Region,Markham,Randall,7.0
City of Toronto,Toronto,Regent Heights,7.0
Durham Region,Whitby,Robert Munsch,7.0
Peel Region,Brampton,Sainte-Jeanne-d'Arc,7.0
Durham Region,Ajax,St Catherine of Siena,7.0
City of Toronto,Toronto,St Edward,7.0
Durham Region,Oshawa,St Hedwig,7.0
City of Toronto,Toronto,St John,7.0
City of Toronto,Toronto,St Malachy,7.0
Halton Region,Burlington,St Timothy,7.0
Peel Region,Brampton,St. Jean-Marie Vianney,7.0
York Region,Maple,Teston Village,7.0
York Region,Thornhill,Westminster,7.0
York Region,Woodbridge,Woodbridge,7.0
York Region,Markham,Ashton Meadows,6.9
Durham Region,Ajax,Brother Andre,6.9
Halton Region,Burlington,Bruce T Lindley,6.9
City of Toronto,Toronto,Burrows Hall,6.9
City of Toronto,Toronto,Canadian Martyrs,6.9
Halton Region,Milton,Chris Hadfield,6.9
York Region,Markham,Cornell Village,6.9
York Region,Newmarket,Crossland,6.9
City of Toronto,Toronto,George P Mackie,6.9
Halton Region,Oakville,Gladys Speers,6.9
City of Toronto,Toronto,Highland Creek,6.9
City of Toronto,Toronto,Islington,6.9
York Region,Markham,Kateri Tekakwitha,6.9
York Region,Markham,Little Rouge,6.9
Peel Region,Brampton,Mountain Ash,6.9
York Region,Aurora,Our Lady of Grace,6.9
Durham Region,Whitby,Pringle Creek,6.9
York Region,Newmarket,Rogers,6.9
Peel Region,Brampton,Sacred Heart,6.9
Halton Region,Milton,Sam Sherratt,6.9
Peel Region,Mississauga,Settler's Green,6.9
Peel Region,Mississauga,Springfield,6.9
City of Toronto,Toronto,St Eugene,6.9
York Region,Woodbridge,St Gabriel the Archangel,6.9
City of Toronto,Toronto,St Joachim,6.9
York Region,Newmarket,St Nicholas,6.9
City of Toronto,Toronto,St Norbert,6.9
Durham Region,Pickering,St Wilfrid,6.9
Halton Region,Oakville,St. Mary,6.9
Peel Region,Brampton,Thorndale,6.9
Peel Region,Brampton,Treeline,6.9
City of Toronto,Toronto,Alexmuir,6.8
Peel Region,Brampton,Beryl Ford,6.8
York Region,Maple,Blessed Trinity,6.8
City of Toronto,Toronto,Charles G Fraser,6.8
York Region,Markham,Coppard Glen,6.8
City of Toronto,Toronto,Danforth Gardens,6.8
City of Toronto,Toronto,Duke of Connaught,6.8
Peel Region,Caledon,Fairlawn,6.8
Peel Region,Brampton,Father Clair Tipping,6.8
York Region,Woodbridge,Fossil Hill,6.8
York Region,Newmarket,Good Shepherd,6.8
York Region,Vaughan,Guardian Angels,6.8
City of Toronto,Toronto,Harrison,6.8
Halton Region,Burlington,John William Boich,6.8
Peel Region,Brampton,Lorenville,6.8
York Region,Woodbridge,Our Lady of Fatima,6.8
Peel Region,Mississauga,Queenston Drive,6.8
Halton Region,Burlington,Sacred Heart of Jesus,6.8
Durham Region,Oshawa,Sir Albert Love,6.8
York Region,Woodbridge,St Agnes of Assisi,6.8
Peel Region,Mississauga,St Barbara,6.8
City of Toronto,Toronto,St Cecilia,6.8
Peel Region,Mississauga,St Francis of Assisi,6.8
Peel Region,Mississauga,St Raphael,6.8
York Region,Thornhill,St Rene Goupil-St Luke,6.8
Peel Region,Brampton,St Rita,6.8
Peel Region,Mississauga,St Sebastian,6.8
York Region,Stouffville,Summitview,6.8
York Region,Newmarket,Terry Fox,6.8
York Region,Woodbridge,Vellore Woods,6.8
City of Toronto,Toronto,Vradenburg,6.8
York Region,Unionville,Aldergrove,6.7
York Region,Thornhill,Bishop Scalabrini,6.7
City of Toronto,Toronto,Blessed John XXIII,6.7
York Region,Markham,Boxwood,6.7
Durham Region,Ajax,Cadarackque,6.7
Durham Region,Ajax,Carruthers Creek,6.7
City of Toronto,Toronto,Cedarbrook,6.7
City of Toronto,Toronto,George B Little,6.7
City of Toronto,Toronto,Glen Ravine,6.7
City of Toronto,Toronto,Humewood,6.7
City of Toronto,Toronto,Huron Street,6.7
City of Toronto,Toronto,Lord Roberts,6.7
City of Toronto,Toronto,McMurrich,6.7
Durham Region,Oshawa,Norman G. Powers,6.7
Peel Region,Brampton,Our Lady of Providence,6.7
Halton Region,Milton,P. L. Robertson,6.7
City of Toronto,Toronto,Regal Road,6.7
Peel Region,Brampton,Roberta Bondar,6.7
Peel Region,Caledon,Saint-Jean-Bosco,6.7
Peel Region,Brampton,Shaw,6.7
Durham Region,Ajax,Southwood Park,6.7
Peel Region,Brampton,St Agnes,6.7
City of Toronto,Toronto,St Ignatius of Loyola,6.7
Peel Region,Brampton,St Jean Brebeuf,6.7
City of Toronto,Toronto,St Jerome,6.7
York Region,Thornhill,St Joseph The Worker,6.7
Peel Region,Brampton,St Josephine Bakhita,6.7
Halton Region,Oakville,St Vincent's,6.7
Durham Region,Ajax,Westney Heights,6.7
City of Toronto,Toronto,Williamson Road,6.7
City of Toronto,Toronto,Birch Cliff Heights,6.6
City of Toronto,Toronto,Blantyre,6.6
City of Toronto,Toronto,Earl Beatty,6.6
Peel Region,Brampton,Eldorado,6.6
York Region,Markham,Ellen Fairclough,6.6
Peel Region,Brampton,Father Michael McGivney,6.6
York Region,Stouffville,Glad Park,6.6
City of Toronto,Toronto,Guildwood,6.6
City of Toronto,Toronto,Holy Cross,6.6
York Region,Woodbridge,Johnny Lombardi,6.6
Durham Region,Uxbridge,Joseph Gould,6.6
City of Toronto,Toronto,Joyce,6.6
City of Toronto,Toronto,Maple Leaf,6.6
Halton Region,Milton,Martin Street,6.6
Peel Region,Brampton,McClure,6.6
Peel Region,Brampton,Our Lady of Fatima,6.6
York Region,Aurora,Regency Acres,6.6
Durham Region,Ajax,Romeo Dallaire,6.6
Peel Region,Mississauga,St Catherine of Siena,6.6
Peel Region,Mississauga,St Clare,6.6
City of Toronto,Toronto,St Clare,6.6
Peel Region,Mississauga,St Hilary,6.6
City of Toronto,Toronto,St Isaac Jogues,6.6
Durham Region,Ajax,St Josephine Bakhita,6.6
Peel Region,Mississauga,St Jude,6.6
Halton Region,Milton,St Peter's,6.6
City of Toronto,Toronto,St Richard,6.6
Peel Region,Brampton,St Ursula,6.6
Peel Region,Brampton,St. Daniel Comboni,6.6
Peel Region,Mississauga,Sts Peter & Paul,6.6
Peel Region,Mississauga,Tony Pontes,6.6
City of Toronto,Toronto,Venerable John Merlini,6.6
York Region,Markham,William Armstrong,6.6
Halton Region,Burlington,Alexander's,6.5
York Region,Aurora,Aurora Heights,6.5
City of Toronto,Toronto,Berner Trail,6.5
Halton Region,Milton,Boyne,6.5
Halton Region,Burlington,C H Norton,6.5
City of Toronto,Toronto,Charlottetown,6.5
City of Toronto,Toronto,Donwood Park,6.5
City of Toronto,Toronto,Kimberley,6.5
City of Toronto,Toronto,Morse Street,6.5
City of Toronto,Toronto,North Bridlewood,6.5
Peel Region,Brampton,Robert J Lee,6.5
Halton Region,Milton,Saint-Nicolas,6.5
City of Toronto,Toronto,St Benedict,6.5
Peel Region,Brampton,St Brigid,6.5
York Region,Stouffville,St Brigid,6.5
York Region,Maple,St David,6.5
Halton Region,Oakville,St Dominic,6.5
York Region,Newmarket,St Elizabeth Seton,6.5
City of Toronto,Toronto,St Fidelis,6.5
Peel Region,Brampton,St Francis Xavier,6.5
Peel Region,Brampton,St Isaac Jogues,6.5
